;timestamps;training_score;testing_score
0;0.0;0.17552924156188965;0.3251628875732422
1;0.5146560668945312;0.8225903511047363;1.2117681503295898
2;1.3462517261505127;1.6144523620605469;2.4092276096343994
3;2.6217668056488037;3.050050973892212;3.267404794692993
4;3.5243494510650635;3.9950475692749023;4.1272876262664795
5;4.32002067565918;4.49518346786499;4.705320596694946
6;4.9995338916778564;5.252544403076172;5.56098198890686
7;5.755668878555298;6.112491607666016;6.945780515670776
8;7.141287088394165;7.2659831047058105;7.434144496917725
9;7.657649993896484;7.952692747116089;8.272908449172974
10;8.40289568901062;8.713109016418457;8.96040153503418
11;9.387179613113403;9.524548292160034;9.759026527404785
12;9.926796674728394;10.106859683990479;10.286278247833252
13;10.429215669631958;10.704691886901855;10.942492723464966
14;11.12502932548523;11.312527656555176;11.51847791671753
15;11.658064842224121;11.838056325912476;12.020298719406128
16;12.162347555160522;12.312190294265747;12.457220315933228
17;12.588834524154663;12.75661301612854;12.965055704116821
18;13.244338989257812;13.43127179145813;13.625520706176758
19;13.863910436630249;14.091862440109253;14.300343751907349
20;14.418426036834717;14.554885149002075;14.738109827041626
21;14.851831912994385;15.065321445465088;15.21835970878601
22;15.379798650741577;15.504299640655518;15.674395561218262
23;15.857568740844727;16.008474349975586;16.164308547973633
24;16.316206216812134;16.499935150146484;16.627190589904785
25;16.787323713302612;17.01645016670227;17.206445455551147
26;17.350076913833618;17.49131751060486;17.63194179534912
27;17.83740735054016;18.01752471923828;18.163647413253784
28;18.304903745651245;18.449519395828247;18.582138776779175
29;18.711817741394043;18.892744779586792;19.08412480354309
30;19.201660871505737;19.40097713470459;19.61064887046814
31;19.79449486732483;19.95858144760132;20.118478536605835
32;20.364819049835205;20.522375345230103;20.748425245285034
33;20.931551456451416;23.0;20.0
34;12.0;14.0;23.0
35;30.0;10.0;20.0
36;59.0;16.0;31.0
37;16.0;19.0;35.0
38;10.0;14.0;13.0
39;15.0;21.0;17.0
40;23.0;16.0;27.0
41;61.0;14.0;9.0
42;12.0;17.0;21.0
43;23.0;10.0;22.0
44;18.0;31.0;10.0
45;17.0;12.0;13.0
46;13.0;10.0;20.0
47;17.0;13.0;14.0
48;15.0;10.0;13.0
49;12.0;10.0;11.0
50;10.0;10.0;12.0
51;15.0;20.0;13.0
52;14.0;17.0;17.0
53;15.0;8.0;10.0
54;13.0;8.0;15.0
55;11.0;11.0;9.0
56;12.0;13.0;11.0
57;11.0;11.0;12.0
58;8.0;11.0;16.0
59;13.0;10.0;10.0
60;10.0;15.0;13.0
61;10.0;10.0;10.0
62;9.0;9.0;13.0
63;13.0;8.0;14.0
64;15.0;12.0;12.0
65;11.0;17.0;11.0
66;16.0;13.0;9.0
67;13.0;10.0;11.0
68;23.0;38.0;39.0
69;10.0;9.0;10.0
70;10.0;9.0;9.0
71;13.0;10.0;10.0
72;10.0;92.0;10.0
73;10.0;136.0;12.0
74;121.0;10.0;9.0
75;10.0;10.0;9.0
76;9.0;8.0;8.0
77;9.0;10.0;10.0
78;9.0;10.0;9.0
79;10.0;9.0;9.0
80;10.0;10.0;11.0
81;10.0;9.0;9.0
82;10.0;9.0;9.0
83;11.0;9.0;9.0
84;10.0;9.0;10.0
85;10.0;8.0;8.0
86;9.0;9.0;10.0
87;9.0;9.0;10.0
88;9.0;9.0;10.0
89;10.0;10.0;10.0
90;8.0;10.0;10.0
91;9.0;9.0;8.0
92;10.0;10.0;8.0
93;10.0;9.0;11.0
94;9.0;9.0;10.0
95;9.0;10.0;9.0
96;9.0;10.0;10.0
97;10.0;9.0;9.0
98;11.0;8.0;9.0
99;9.0;9.0;9.0
